,bodywork_type,brand,city,color,doors,fuel_type,kilometers,model,motor,state,transmission,year,price
0,9,24,153,74,2.0,2,1111111.0,739,51,2,2,1988.0,22000000.0
1,4,129,228,31,5.0,2,460736.0,941,15,26,2,1989.0,3800000.0
2,12,79,72,16,2.0,3,175000.0,1189,196,5,0,1989.0,37000000.0
3,9,24,158,63,2.0,2,11500.0,739,227,5,2,1990.0,25500000.0
4,3,24,155,63,2.0,2,10.0,739,285,5,2,1990.0,18000000.0
5,0,24,302,31,5.0,2,66971.0,1003,28,19,2,1991.0,26000000.0
6,12,7,41,31,4.0,2,234000.0,1024,243,15,2,1992.0,25000000.0
7,4,148,196,16,5.0,2,230000.0,745,447,2,2,1993.0,69900000.0
8,0,148,196,31,5.0,2,208000.0,745,447,2,2,1995.0,69900000.0
9,9,101,327,6,2.0,2,20000.0,247,196,5,2,1995.0,27900000.0
10,14,48,338,63,4.0,2,240000.0,497,196,5,0,1996.0,32500000.0
11,0,24,112,16,5.0,2,181427.0,517,51,5,0,1998.0,14000000.0
12,9,48,196,31,2.0,2,131000.0,530,444,2,2,1999.0,24000000.0
13,12,151,112,16,4.0,2,166000.0,689,196,5,2,2000.0,15000000.0
14,12,7,327,31,4.0,2,140000.0,1024,339,5,2,2001.0,42000000.0
15,0,148,196,16,5.0,2,197000.0,745,451,2,0,2002.0,74900000.0
16,4,118,327,16,5.0,2,105000.0,115,196,5,2,2003.0,18500000.0
17,12,40,322,31,4.0,2,100000.0,1242,196,26,2,1938.0,70000000.0
18,12,30,338,6,4.0,2,263600.0,293,196,5,2,2003.0,12600000.0
19,12,24,155,31,4.0,2,98000.0,1076,51,5,2,1991.0,5900000.0
20,4,24,238,16,5.0,2,1.0,1052,15,5,2,1991.0,6300000.0
21,0,24,134,16,5.0,2,1.0,1003,28,29,2,1991.0,16000000.0
22,9,148,196,16,2.0,2,300000.0,664,233,2,2,1992.0,42500000.0
23,0,67,155,31,4.0,2,260000.0,216,260,5,2,1992.0,8000000.0
24,4,24,123,6,2.0,2,90000.0,1076,28,5,2,1993.0,23000000.0
25,0,118,80,16,5.0,2,209000.0,139,72,15,2,1994.0,8900000.0
26,12,118,53,31,4.0,2,171000.0,114,64,15,2,1995.0,7000000.0
27,0,90,157,74,5.0,3,305000.0,469,678,15,0,1996.0,29000000.0
28,12,24,210,16,4.0,2,300000.0,517,51,18,2,1997.0,11000000.0
29,12,107,327,61,4.0,2,138000.0,292,254,5,0,1998.0,19900000.0
30,9,24,123,31,2.0,2,2500.0,739,224,5,2,1999.0,31500000.0
31,12,24,210,16,5.0,2,307330.0,1167,51,18,2,2000.0,23000000.0
32,12,24,327,74,4.0,2,120000.0,232,593,5,2,2001.0,10990000.0
33,12,112,72,63,4.0,2,208000.0,1018,51,5,2,2002.0,12700000.0
34,12,70,33,16,4.0,2,166000.0,504,196,4,2,2002.0,11500000.0
35,12,129,323,16,4.0,2,185000.0,802,32,7,2,2003.0,12000000.0
36,0,38,327,16,5.0,2,200000.0,554,51,5,2,1993.0,19500000.0
37,0,79,121,31,5.0,2,260000.0,369,440,15,0,1995.0,16500000.0
38,0,112,380,31,5.0,2,198000.0,901,444,10,2,1996.0,42500000.0
39,4,118,72,63,5.0,2,170000.0,87,17,5,2,1996.0,6000000.0
40,4,47,356,16,5.0,2,170605.0,893,28,15,2,1997.0,8500000.0
41,13,141,327,6,5.0,2,179500.0,672,51,5,2,1998.0,16800000.0
42,0,148,26,31,5.0,2,154800.0,911,250,24,0,1999.0,28000000.0
43,12,101,196,31,4.0,2,161000.0,169,424,2,2,1999.0,12800000.0
44,4,129,327,63,5.0,2,200000.0,413,32,5,2,2000.0,9800000.0
45,0,129,351,31,4.0,2,180000.0,940,196,7,2,2000.0,7999000.0
46,0,37,196,63,5.0,0,150000.0,720,255,2,2,2001.0,13500000.0
47,0,151,327,31,4.0,2,1.0,617,51,5,2,2000.0,9800000.0
48,13,24,254,74,5.0,2,149800.0,517,135,5,0,2002.0,15000000.0
49,12,67,359,61,5.0,2,17196.0,383,153,5,2,2002.0,17500000.0
50,9,24,112,25,5.0,2,240000.0,739,227,5,2,1993.0,23800000.0
51,12,24,44,16,4.0,2,130000.0,1076,51,5,2,1993.0,8290000.0
52,4,24,101,16,5.0,2,50000.0,1076,15,25,2,1994.0,6000000.0
53,4,24,44,31,5.0,2,115000.0,1052,15,5,2,1994.0,8000000.0
54,0,48,155,16,2.0,3,200000.0,133,196,5,2,1995.0,24000000.0
55,4,24,327,16,5.0,2,51000.0,1076,15,5,2,1995.0,7800000.0
56,9,24,127,63,2.0,3,204625.0,379,496,15,0,1995.0,16500000.0
57,0,24,63,16,2.0,2,111111.0,739,196,6,2,1996.0,23000000.0
